documento,nombres,apellidos,grupo
1001001,Juan Esteban,Gómez Restrepo,6-1
1001002,María José,Ramírez López,6-1
1001003,Santiago,Martínez Ortiz,6-1
1001004,Valentina,Hernández Silva,6-1
1001005,Mateo,Vásquez Morales,6-1
1001006,Isabella,García Castro,6-1
1001007,Samuel,Rodríguez Vargas,6-1
1001008,Sofia,Zapata Bedoya,6-1
1001009,Sebastián,Pérez Jaramillo,6-1
1001010,Mariana,Torres Ossa,6-1
1001011,Alejandro,Ríos Salazar,6-1
1001012,Camila,Cardona Muñoz,6-1
1001013,Nicolás,Suárez Holguín,6-1
1001014,Luciana,Álvarez Henao,6-1
1001015,Emanuel,Giraldo Montoya,6-1
1001016,Salomé,Castrillón Franco,6-1
1001017,Jerónimo,Echeverri Rendón,6-1
1001018,Gabriela,Osorio Marín,6-1
1001019,Tomás,Arias Villegas,6-1
1001020,Valery,Cano Agudelo,6-1
1001021,Daniel,Henao Botero,6-2
1001022,Sara,Restrepo Isaza,6-2
1001023,Emiliano,Betancur Villa,6-2
1001024,Antonella,Mendoza Parra,6-2
1001025,Matías,Duque Londoño,6-2
1001026,Samantha,Navarro Guerrero,6-2
1001027,Joaquín,Sánchez Buitrago,6-2
1001028,Catalina,Pinzón Gil,6-2
1001029,Benjamín,Jiménez Serna,6-2
1001030,Emily,Castaño Correa,6-2
1001031,Martín,Gutiérrez Quintero,6-2
1001032,Victoria,Moreno Marulanda,6-2
1001033,Felipe,Aguilar Gallego,6-2
1001034,Renata,Saldarriaga Mesa,6-2
1001035,Agustín,Pineda Bustamante,6-2
1001036,Elena,Beltrán Carmona,6-2
1001037,Dante,Mesa Arango,6-2
1001038,Guadalupe,Roldán Urrego,6-2
1001039,Simón,Vélez Zuluaga,6-2
1001040,Lucía,Moncada Taborda,6-2
1001041,Gabriel,Naranjo Ospina,7-1
1001042,Manuela,Ceballos Lopera,7-1
1001043,Lucas,Vidal Chavarriaga,7-1
1001044,Martina,Caicedo Molina,7-1
1001045,Maximilian,Peña Forero,7-1
1001046,Alana,Díaz Usme,7-1
1001047,Thiago,Romero Calderón,7-1
1001048,Paulina,Castañeda Loaiza,7-1
1001049,Christopher,Bravo Cárdenas,7-1
1001050,Abigail,Vargas Ledesma,7-1
1001051,Ian,Villada Hincapié,7-1
1001052,Juana,Toro Peláez,7-1
1001053,Felipe,Sepúlveda Atehortúa,7-1
1001054,Alma,Vergara Rincón,7-1
1001055,Dylan,Molina Arboleda,7-1
1001056,Fiorella,Rojas Cuartas,7-1
1001057,Bruno,Ceballos Tamayo,7-1
1001058,Bianca,Ríos Uribe,7-1
1001059,Liam,Vallejo Grajales,7-1
1001060,Amelia,Henao Rendón,7-1
1001061,Diego,Benítez Clavijo,7-2
1001062,Saray,Chavarría Posada,7-2
1001063,Kevin,Barrientos Lopera,7-2
1001064,Zoe,Patiño Guisao,7-2
1001065,Isaac,Flórez Maya,7-2
1001066,Celeste,Arango Noreña,7-2
1001067,Oliver,Bustamante Quirama,7-2
1001068,Regina,Palacio Murillo,7-2
1001069,Aaron,Valencia Barreneche,7-2
1001070,Miranda,Ciro Alzate,7-2
1001071,Iker,Uribe Echavarría,7-2
1001072,Ivanna,Múnera Agudelo,7-2
1001073,Santino,Loaiza Carvajal,7-2
1001074,Ainhoa,Gómez Orozco,7-2
1001075,Bautista,Ruiz Piedrahíta,7-2
1001076,Violeta,Ocampo Giraldo,7-2
1001077,Gael,Callejas Cardona,7-2
1001078,Julieta,Montoya Henao,7-2
1001079,Milo,Suárez Tabares,7-2
1001080,Olivia,Grajales Varela,7-2
1001081,David,Serna Vanegas,8-1
1001082,Alicia,Hurtado Cuartas,8-1
1001083,Ángel,Salazar Bran,8-1
1001084,Candelaria,Pineda Otálvaro,8-1
1001085,Adrián,Henao Ceballos,8-1
1001086,Delfina,Rincón Mazo,8-1
1001087,Josué,Gallego Lopera,8-1
1001088,Paloma,Tabares Arbeláez,8-1
1001089,Camilo,Garcés Correa,8-1
1001090,Pia,Franco Isaza,8-1
1001091,Álvaro,Guerra Echeverry,8-1
1001092,Serena,Sánchez Marín,8-1
1001093,Esteban,Bernal Londoño,8-1
1001094,Coraline,Vargas Bedoya,8-1
1001095,Julián,Orozco Zapata,8-1
1001096,Milagros,Henao Quiceno,8-1
1001097,Bastián,Castrillón Naranjo,8-1
1001098,Lía,Gómez Atehortúa,8-1
1001099,Alonso,Rodríguez Parra,8-1
1001100,Gemma,Salinas Toro,8-1
1001101,Matías,Correa Villa,8-2
1001102,Maite,Marín Henao,8-2
1001103,Damián,Ospina Bedoya,8-2
1001104,Noa,Álvarez Holguín,8-2
1001105,Milo,Agudelo Cardona,8-2
1001106,Rafaela,Montoya Vélez,8-2
1001107,Dante,Giraldo Jaramillo,8-2
1001108,Amira,López Henao,8-2
1001109,Tadeo,Zapata Ríos,8-2
1001110,Briana,Rendón Castrillón,8-2
1001111,Alan,Restrepo Duque,8-2
1001112,Mía,Vargas Osorio,8-2
1001113,Bautista,Gómez Peláez,8-2
1001114,Karely,Castro Salazar,8-2
1001115,Ezequiel,Henao Ossa,8-2
1001116,Adelaida,Pérez Cano,8-2
1001117,Simón,Ramírez Chavarriaga,8-2
1001118,Lara,Ortiz Betancur,8-2
1001119,Elías,Bedoya Buitrago,8-2
1001120,Aitana,Silva Restrepo,8-2
1001121,Mauricio,Bedoya Urrego,9-1
1001122,Vanessa,Arango Zuluaga,9-1
1001123,Óscar,García Henao,9-1
1001124,Verónica,Torres Montoya,9-1
1001125,Andrés,Duque Agudelo,9-1
1001126,Daniela,Sánchez Cano,9-1
1001127,Felipe,Vásquez Bedoya,9-1
1001128,Laura,Gómez Restrepo,9-1
1001129,Cristian,Restrepo Villa,9-1
1001130,Natalia,Henao Castrillón,9-1
1001131,Jorge,Pérez Cardona,9-1
1001132,Carolina,Martínez Ossa,9-1
1001133,Carlos,Ríos Salazar,9-1
1001134,Alejandra,Álvarez Muñoz,9-1
1001135,Federico,Salazar Holguín,9-1
1001136,Lina,Giraldo Henao,9-1
1001137,Rodrigo,Osorio Montoya,9-1
1001138,Paola,Zapata Franco,9-1
1001139,Hugo,Echeverri Rendón,9-1
1001140,Diana,Arias Marín,9-1
1001141,Guillermo,Cano Villegas,9-2
1001142,Mónica,Henao Agudelo,9-2
1001143,Raúl,Restrepo Botero,9-2
1001144,Silvia,Betancur Isaza,9-2
1001145,Hernán,Mendoza Villa,9-2
1001146,Adriana,Parra Parra,9-2
1001147,Mario,Duque Londoño,9-2
1001148,Beatriz,Navarro Guerrero,9-2
1001149,César,Sánchez Buitrago,9-2
1001150,Claudia,Pinzón Gil,9-2
1001151,Gonzalo,Jiménez Serna,9-2
